PUzoneID,total_tip
1,2434.3199999999993
2,17.0
3,51.8
4,41085.97000000049
6,41.54
7,18088.520000000044
8,481.0799999999999
9,103.99000000000001
10,10352.229999999976
11,137.37
12,4922.939999999998
13,203266.10000000033
14,595.28
15,100.44
16,156.93000000000004
17,3041.8599999999988
18,65.44999999999999
19,90.07
20,46.480000000000004
21,213.48000000000008
22,77.11000000000003
23,12.4
24,39202.54000000037
25,16375.180000000051
26,102.09999999999998
28,2829.6200000000017
29,614.3499999999996
30,74.72999999999999
31,47.26
32,9.540000000000001
33,22056.150000000074
34,429.8400000000002
35,403.48
36,3021.590000000002
37,4502.819999999997
38,4.140000000000001
39,223.83000000000007
40,11793.519999999984
41,36224.18000000033
42,12909.010000000026
43,159977.30000000336
45,35074.28000000012
47,71.33000000000001
48,418982.27000003564
49,5071.050000000005
50,129449.32000000226
51,93.29
52,13276.090000000015
53,119.9
54,1130.08
55,246.14
56,1152.4400000000005
57,59.17999999999999
58,3.3
59,2.0
60,76.81
61,3229.7899999999963
62,503.90000000000003
63,712.3999999999996
64,79.87
65,22159.950000000063
66,7356.229999999997
67,84.27999999999999
68,352868.74000001553
69,203.87999999999997
70,5185.809999999999
71,131.25000000000003
72,123.82
73,15.66
74,27847.890000000265
75,70517.38999999959
76,709.47
77,136.6
78,157.22999999999996
79,496059.29000002594
80,9291.609999999988
81,32.040000000000006
82,3263.4600000000023
83,1117.41
84,10.0
85,239.87000000000006
86,2.88
87,174871.5000000002
88,89651.03000000057
89,1350.4699999999996
90,277988.5100000005
91,244.01
92,498.6099999999998
93,6581.9400000000005
94,30.770000000000003
95,2383.789999999999
96,64.64999999999999
97,12842.460000000001
98,101.18
100,263831.96000000235
101,77.63000000000001
102,142.54
106,3095.4699999999953
107,370774.4100000174
108,259.88000000000005
111,23.22
112,8996.480000000003
113,257314.06999999878
114,226210.06999999718
115,330.86999999999995
116,14865.41999999999
117,192.32999999999998
118,21.05
119,225.15999999999997
120,82.21999999999998
121,125.72000000000001
122,130.7
123,233.64000000000001
124,336.2000000000001
125,103018.6800000024
126,86.17
127,1423.1900000000005
128,100.22
129,4792.429999999994
130,4027.990000000006
131,201.7
132,1335027.380000106
133,772.6900000000005
134,912.9600000000002
135,379.78999999999996
136,64.37
137,184620.48000000187
138,1197730.1599998209
139,80.00999999999999
140,254188.45000000283
141,299184.6500000082
142,395187.3600000419
143,147967.36000000336
144,178104.8900000007
145,17201.549999999985
146,13280.980000000012
147,111.69000000000001
148,253514.23999999565
149,83.32
150,212.63
151,115063.81000000313
152,9900.400000000018
153,39.08
154,139.42000000000002
155,388.4699999999999
156,75.14
157,1581.7300000000002
158,186850.81999999838
159,318.11
160,288.49000000000007
161,586568.0100000041
162,564596.2800000224
163,393055.02000003215
164,356919.7700000177
165,133.74
166,71650.36000000061
167,126.03
168,1143.0100000000014
169,148.23999999999998
170,488192.3900000388
171,61.839999999999996
172,30.08
173,253.64
174,94.40000000000002
175,90.2
176,8.7
177,361.7000000000001
178,143.02
179,7250.029999999986
180,248.64
181,21125.620000000054
182,39.25
183,12.45
184,17.55
185,35.77
186,519461.4500000694
188,1244.61
189,4851.3699999999935
190,729.2100000000002
191,97.16
192,155.04000000000002
193,3062.5899999999992
194,2857.3400000000042
195,818.6500000000001
196,1504.1599999999999
197,731.3100000000001
198,406.23000000000013
200,99.84
201,10.879999999999999
202,713.8700000000003
203,113.17
205,69.33
206,10.0
207,312.0
208,185.89
209,35836.54000000011
210,263.33
211,130961.11000000457
212,71.15
213,345.83000000000004
214,18.47
215,4651.590000000007
216,2518.09
217,750.2200000000004
218,82.99999999999999
219,2835.7600000000016
220,241.79999999999998
221,274.5
222,47.75
223,10034.199999999977
224,46561.92000000023
225,1476.4599999999994
226,27189.240000000147
227,157.47999999999996
228,1887.8200000000004
229,268806.860000005
230,536489.120000044
231,320355.16000000545
232,32743.53000000018
233,204165.170000001
234,535669.250000032
235,165.90999999999997
236,483366.1800000496
237,475954.7700000509
238,263002.72000000346
239,353272.57000002527
240,39.37
241,97.44000000000001
242,87.85000000000001
243,2934.0
244,14839.920000000071
245,40.0
246,232688.93000000174
247,1932.2699999999975
248,60.49000000000001
249,342102.8400000055
250,135.54
252,412.52
253,98.89000000000001
254,16.59
255,21385.39999999999
256,18213.290000000008
257,656.3800000000002
258,178.48
259,32.709999999999994
260,6653.459999999989
261,104756.17000000217
262,172486.730000004
263,242693.470000001
5,0.0
27,0.0
44,0.0
46,0.0
99,0.0
103,0.0
104,0.0
105,0.0
109,0.0
110,0.0
187,0.0
199,0.0
204,0.0
251,0.0
